feature_id;utility;difficulty;status;description;dependency;link;mission_comments;coefficient
database_management_system;;;;;;;;0
machine_learning_algorithms;;;;;;;;0
aws_associate_dev;;;;;;;;0
G4G_first_order_logic;;;;;;;;0
G4G_set_theory;;;;;;;;0
G4G_combinatorics;;;;;;;;0
G4G_graph_theory;;;;;;;;0
G4G_linear_algebra;;;;;;;;0
G4G_probability;;;;;;;;0
G4G_calculus;;;;;;https://www.geeksforgeeks.org/lagranges-mean-value-theorem/?ref=lbp;;0
g_op_basics;;;;;;;;0
g_op_threads;;;;;;;;0
g_op_cpu;;;;;;;;0
g_op_process;;;;;;;;0
g_op_deadlock;;;;;;;;0
g_op_memory_management;;;;;;;;0
g_op_diskmanagement;;;;;;;;0
g_dbms_basics;;;;;;https://www.geeksforgeeks.org/dbms/?ref=ghm;;0
g_dbms_relational_algebra;;;;Interesting, is the math and relational model adnd operations used to mean things in any languge;;;;0
g_dbms_database_design;;;;;;;;0
g_dbms_transactional_concurreny;;;;;;;;0
g_dbms_file_structure;;;;;;;;0
g_network_basics;;;;;;;;0
g_network_security_encryption;;;;;;;;0
g_network_application;;;;;;;;0
g_network_transport;;;;;;;;0
g_network_layer;;;;;;;;0
g_datalink_layer;;;;;;;;0
algo_write_neetcode;;;;Writting means that you would write and compile;;;;0
algo_process_neetcode;;;;Process means just explaining how you would solve it;;;;0
algo_write_expert;;;;;;;;0
algo_process_expert;;;;;;;;0
g_computer_instructions_basic;;;;;;;;0
g_computer_design;;;;;;;;0
g_computer_arithmetic;;;;;;;;0
g_microprogrammed_control;;;;;;;;0
g_memory_organization;;;;;;;;0
g_input_output;;;;;;;;0
g_pipelining;;;;;;;;0
g_software_devmodels;;;;;;;;0
g_software_projectmanagement;;;;;;;;0
g_software_requirement;;;;;;;;0
g_software_testing;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
;;;;;;;;0
